User Pedon ID                 ,Top Depth,Bottom Depth,featNew
1978SD021310                  ,122,152,Secondary Carbonates
1983SD013501                  ,112,152,Secondary Carbonates
1980ND019007                  ,135,152,Secondary Carbonates
1963SD089001                  ,66,97,Secondary Carbonates
1978SD089002                  ,8,152,Secondary Carbonates
2019ND095261                  ,90,110,Secondary Carbonates
2020ND023122                  ,80,120,Secondary Carbonates
2020ND023131                  ,93,111,Secondary Carbonates
2020ND023142                  ,90,115,Secondary Carbonates
2021ND019562                  ,150,            ,Secondary Carbonates
